continent,location,population,total_vaccinations,one_dose_vaccination_total,all_doses_vaccination_total,total_cases,one_dose_vaccination_percent
Europe,United Kingdom,67508936,151248820,53813491,50762968,24341615,79.7131
North America,United States,338289856,670987625,269332266,229914797,103124645,79.6158
North America,United States Virgin Islands,99479,0,0,0,0,0.0
South America,Uruguay,3422796,8935606,3006286,2898623,1034046,87.8313
Asia,Uzbekistan,34627648,74976351,21674823,18101452,250873,62.594
Oceania,Vanuatu,326744,366638,176624,162250,12014,54.0558
Europe,Vatican,808,0,0,0,29,0.0
South America,Venezuela,28301700,37860994,22157232,14966671,551911,78.2894
Asia,Vietnam,98186856,266211063,90457873,85928073,11526825,92.1283
Europe,Wales,3170000,8609988,2591423,2474874,0,81.7484
Oceania,Wallis and Futuna,11596,18058,7150,6803,3427,61.6592
Africa,Western Sahara,576005,0,0,0,0,0.0
Asia,Yemen,33696612,1242982,1006274,761003,11945,2.9863
Africa,Zambia,20017670,12722857,10802844,8683142,342724,53.9665
Africa,Zimbabwe,16320539,12222754,6437808,4751270,263642,39.4461
