continent,location,population,total_deaths,total_cases,total_deaths_percent,total_cases_percent
North America,Montserrat,4413,9,1403,0.2039,31.7924
Europe,Vatican,808,0,29,0.0,3.5891
Asia,North Korea,26069416,6,1,0.0,0.0
Asia,Northern Cyprus,382836,0,0,0.0,0.0
Asia,Turkmenistan,6430777,0,0,0.0,0.0
Africa,Western Sahara,576005,0,0,0.0,0.0
Europe,England,56550000,0,0,0.0,0.0
Europe,Guernsey,63329,0,0,0.0,0.0
Europe,Jersey,110796,0,0,0.0,0.0
Europe,Northern Ireland,1896000,0,0,0.0,0.0
Europe,Scotland,5466000,0,0,0.0,0.0
Europe,Wales,3170000,0,0,0.0,0.0
Oceania,Niue,1952,0,0,0.0,0.0
Oceania,Northern Mariana Islands,49574,0,0,0.0,0.0
Oceania,Pitcairn,47,0,0,0.0,0.0
Oceania,Tokelau,1893,0,0,0.0,0.0
Oceania,Guam,171783,0,0,0.0,0.0
North America,Sint Maarten (Dutch part),44192,0,0,0.0,0.0
North America,Puerto Rico,3252412,0,0,0.0,0.0
North America,United States Virgin Islands,99479,0,0,0.0,0.0
